panel,K,schedule_type,fixed_parent_lots,relative_time,child_times_relative,component,mean,ci_low,ci_high,n,artifact_provenance,sign_convention,arm,estimate,target,target_gap,ci_width,support_rate,clipping_rate,sample_size,clusters,inference_unit,ci_method,first_stage_F,clone_integrity_pass,fseq_balance_ticks,abs_fseq_balance_ticks,new_information,sequential_mechanics,terminal_response,abs_terminal,abs_mechanics,retention_ratio
fixed_parent_path,1.0,block,-130.0,70.0,0,do0_subtracted_price_path,2.51,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,1.0,block,-130.0,75.0,0,do0_subtracted_price_path,2.4975,0.0,6.5,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,1.0,block,-130.0,80.0,0,do0_subtracted_price_path,2.4525,-0.5124999999999997,6.5,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,1.0,block,-130.0,85.0,0,do0_subtracted_price_path,2.455,-0.5,6.012500000000003,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,1.0,block,-130.0,90.0,0,do0_subtracted_price_path,2.4075,-0.0124999999999997,6.512500000000003,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,1.0,block,-130.0,95.0,0,do0_subtracted_price_path,2.455,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,1.0,block,-130.0,100.0,0,do0_subtracted_price_path,2.455,-0.5124999999999997,6.025000000000006,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,1.0,block,-130.0,105.0,0,do0_subtracted_price_path,2.475,-0.0124999999999997,6.5,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,1.0,block,-130.0,110.0,0,do0_subtracted_price_path,2.5,0.0,6.5,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,1.0,block,-130.0,115.0,0,do0_subtracted_price_path,2.5125,-0.0249999999999994,7.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,1.0,block,-130.0,120.0,0,do0_subtracted_price_path,2.4775,-1.0,7.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,0.0,0;1,do0_subtracted_price_path,0.0,0.0,0.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,5.0,0;1,do0_subtracted_price_path,3.475,0.0,7.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,10.0,0;1,do0_subtracted_price_path,3.13,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,15.0,0;1,do0_subtracted_price_path,2.9925,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,20.0,0;1,do0_subtracted_price_path,2.8925,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,25.0,0;1,do0_subtracted_price_path,2.7825,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,30.0,0;1,do0_subtracted_price_path,2.815,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,35.0,0;1,do0_subtracted_price_path,2.735,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,40.0,0;1,do0_subtracted_price_path,2.68,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,45.0,0;1,do0_subtracted_price_path,2.735,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,50.0,0;1,do0_subtracted_price_path,2.6175,0.0,5.5,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,55.0,0;1,do0_subtracted_price_path,2.575,0.0,5.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,60.0,0;1,do0_subtracted_price_path,2.5625,0.0,5.012500000000003,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,65.0,0;1,do0_subtracted_price_path,2.575,0.0,5.512500000000003,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,70.0,0;1,do0_subtracted_price_path,2.545,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,75.0,0;1,do0_subtracted_price_path,2.54,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,80.0,0;1,do0_subtracted_price_path,2.4625,0.0,5.512500000000003,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,85.0,0;1,do0_subtracted_price_path,2.445,0.0,5.512500000000003,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,90.0,0;1,do0_subtracted_price_path,2.4625,0.0,5.5,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,95.0,0;1,do0_subtracted_price_path,2.4675,0.0,5.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,100.0,0;1,do0_subtracted_price_path,2.5075,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,105.0,0;1,do0_subtracted_price_path,2.5075,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,110.0,0;1,do0_subtracted_price_path,2.53,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,115.0,0;1,do0_subtracted_price_path,2.525,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,2.0,twap,-130.0,120.0,0;1,do0_subtracted_price_path,2.51,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,5.0,twap,-130.0,0.0,0;1;2;3;4,do0_subtracted_price_path,0.0,0.0,0.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,5.0,twap,-130.0,5.0,0;1;2;3;4,do0_subtracted_price_path,4.0075,0.5,7.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,5.0,twap,-130.0,10.0,0;1;2;3;4,do0_subtracted_price_path,3.395,0.0,6.512500000000003,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,5.0,twap,-130.0,15.0,0;1;2;3;4,do0_subtracted_price_path,3.2525,0.0,6.012500000000003,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,5.0,twap,-130.0,20.0,0;1;2;3;4,do0_subtracted_price_path,3.155,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,5.0,twap,-130.0,25.0,0;1;2;3;4,do0_subtracted_price_path,3.08,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,5.0,twap,-130.0,30.0,0;1;2;3;4,do0_subtracted_price_path,3.0025,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,5.0,twap,-130.0,35.0,0;1;2;3;4,do0_subtracted_price_path,2.9925,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,5.0,twap,-130.0,40.0,0;1;2;3;4,do0_subtracted_price_path,2.9025,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,5.0,twap,-130.0,45.0,0;1;2;3;4,do0_subtracted_price_path,2.8875,0.0,5.5,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,5.0,twap,-130.0,50.0,0;1;2;3;4,do0_subtracted_price_path,2.7775,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,5.0,twap,-130.0,55.0,0;1;2;3;4,do0_subtracted_price_path,2.6525,0.0,5.512500000000003,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,5.0,twap,-130.0,60.0,0;1;2;3;4,do0_subtracted_price_path,2.655,0.0,5.012500000000003,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,5.0,twap,-130.0,65.0,0;1;2;3;4,do0_subtracted_price_path,2.67,0.0,5.512500000000003,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
