liquidity_scale,q_economic_intended,mean,std,count,ci_low,ci_high,outcome,support_rate,clipping_rate,panel,x,x_min,x_max,n,setting_id,setting_label,source_run_name,horizon,proxy,proxy_label,proxy_long_label,outcome_label,r2,beta,artifact_provenance
10.0,-160.0,-0.5,0.5042194840896108,60.0,-0.6275851327612074,-0.3724148672387926,terminal_total,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,-100.0,-0.44166666666666665,0.49652748969477895,60.0,-0.5673054563034408,-0.3160278770298925,terminal_total,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,-60.0,-0.06666666666666667,0.2515488742932317,60.0,-0.13031731392513407,-0.003016019408199247,terminal_total,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,-30.0,0.0,0.0,60.0,0.0,0.0,terminal_total,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,-10.0,0.0,0.0,60.0,0.0,0.0,terminal_total,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,-0.0,0.0,0.0,60.0,0.0,0.0,terminal_total,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,10.0,0.0,0.0,60.0,0.0,0.0,terminal_total,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,30.0,0.0,0.0,60.0,0.0,0.0,terminal_total,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,60.0,0.016666666666666666,0.12909944487358055,60.0,-0.01599999999999999,0.049333333333333326,terminal_total,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,100.0,0.475,0.49080528777558474,60.0,0.35080912722202195,0.599190872777978,terminal_total,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,160.0,0.5166666666666667,0.503939284299098,60.0,0.38915243423478074,0.6441808990985527,terminal_total,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
